species	copy	status	count
nxCaeAuri1	Multi-copy	Eliminated and retained DNA	103
nxCaeAuri1	Multi-copy	Eliminated DNA only	58
nxCaeAuri1	Single-copy	Orphan	24
nxCaeAuri1	Single-copy	Homologs in other species	11
nxCaeMono1	Multi-copy	Eliminated and retained DNA	62
nxCaeMono1	Multi-copy	Eliminated DNA only	7
nxCaeMono1	Single-copy	Orphan	8
nxCaeMono1	Single-copy	Homologs in other species	4
nxCaeParv1	Multi-copy	Eliminated and retained DNA	65
nxCaeParv1	Multi-copy	Eliminated DNA only	18
nxCaeParv1	Single-copy	Orphan	10
nxCaeParv1	Single-copy	Homologs in other species	22
