family	z_score	p_value	observed	expected
Satellite	11.9403	0.000999000999000999	96	17.389
Unknown	-3.0988	0.001998001998002	964	2014.857
RC/Helitron	15.3166	0.000999000999000999	112	5.615
DNA/TcMar-Tc4	-2.7243	0.000999000999000999	2	17.511
LINE/CR1	0.6899	0.251748251748252	55	48.534
DNA/Maverick	-0.6911	0.284715284715285	12	17.503
PLE/Naiad	0.956	0.274725274725275	1	0.362
DNA/TcMar-Tc1	4.8187	0.000999000999000999	38	13.684
LINE/RTE-RTE	2.4641	0.023976023976024	20	10.228
LTR/Gypsy	4.2878	0.002997002997003	16	4.352
DNA/TcMar-Mariner	1.7735	0.0619380619380619	27	17.488
LTR/Pao	0.2802	0.383616383616384	3	2.373
LINE/RTE-BovB	3.3393	0.013986013986014	4	0.896
LTR/Copia	0.6903	0.293706293706294	3	1.863
SINE	-0.4518	0.719280719280719	0	0.594
SINE/U	-0.4304	0.752247752247752	0	0.623
SINE/tRNA-RTE	-0.9314	0.374625374625375	0	1.181
DNA	-0.2283	0.948051948051948	0	0.055
LINE/Penelope	2.5235	0.026973026973027	6	2.107
DNA/TcMar-Tc2	-0.1534	0.977022977022977	0	0.023
SINE/ID	-0.7783	0.482517482517482	0	0.909
SINE/tRNA-Deu-L2	-0.3007	0.913086913086913	0	0.092
DNA/TcMar-m44	6.2928	0.002997002997003	12	1.012
DNA/PIF-Harbinger	-0.1751	0.97002997002997	0	0.088
DNA/PiggyBac	-0.2146	0.955044955044955	0	0.046
DNA/MULE-MuDR	-0.4014	0.855144855144855	0	0.15
DNA/TcMar-Pogo	-0.1391	0.981018981018981	0	0.019
DNA/CMC-Chapaev	-0.1567	0.976023976023976	0	0.024
ARTEFACT	-0.1391	0.981018981018981	0	0.019
All	-2.2566	0.003996003996004	1371	2195.605
