family	z_score	p_value	observed	expected
RC/Helitron	15.5274	0.000999000999000999	128	20.21
Satellite	6.8014	0.00599400599400599	152	32.672
Unknown	-4.6642	0.000999000999000999	534	1207.743
DNA/TcMar-Mariner	-2.5251	0.001998001998002	6	25.441
LINE/CR1	-0.4221	0.381618381618382	24	27.255
LTR/Pao	-1.4428	0.0669330669330669	2	6.777
DNA/hAT-Ac	-1.6876	0.00999000999000999	8	21.918
DNA/TcMar-Tc1	-1.5598	0.050949050949051	7	15.209
LINE/RTE-RTE	-1.9904	0.00899100899100899	4	15.424
LTR/Gypsy	-2.0887	0.00699300699300699	11	23.698
DNA/MULE-MuDR	2.8557	0.012987012987013	14	5.878
LINE/CR1-Zenon	-2.7423	0.000999000999000999	6	28.451
DNA/CMC-Chapaev	2.3345	0.0779220779220779	2	0.42
SINE/U	-0.4498	0.764235764235764	0	0.375
DNA/TcMar-Tc4	5.1535	0.002997002997003	7	0.947
LINE/L2	-0.772	0.528471528471528	0	0.644
LINE/RTE-BovB	-1.1261	0.232767232767233	0	1.684
SINE/tRNA-Meta	0.1694	0.413586413586414	1	0.795
DNA/PiggyBac	-0.1353	0.982017982017982	0	0.018
LTR/ERVK	-0.8489	0.468531468531469	0	0.796
PLE/Chlamys	-0.067	0.709290709290709	1	1.083
DNA/Maverick	-0.8018	0.321678321678322	0	2.896
SINE/ID	-0.3476	0.863136863136863	0	0.199
LINE/Penelope	-0.214	0.952047952047952	0	0.055
ARTEFACT	-0.1102	0.988011988011988	0	0.012
DNA/hAT-Tag1	1.4583	0.208791208791209	1	0.244
DNA/hAT	-0.0709	0.995004995004995	0	0.005
DNA	-0.1567	0.976023976023976	0	0.024
DNA/PIF-Harbinger	-0.157	0.971028971028971	0	0.038
PLE/Naiad	-0.1353	0.982017982017982	0	0.018
SINE	-0.0898	0.992007992007992	0	0.008
SINE/tRNA-Deu-L2	-0.2033	0.957042957042957	0	0.048
All	-2.9462	0.001998001998002	908	1441.342
