family	z_score	p_value	observed	expected
Satellite	0.5262	0.258741258741259	87	72.084
Unknown	-2.2511	0.00599400599400599	403	892.566
LINE/CR1	1.5187	0.0779220779220779	72	52.643
LTR/Gypsy	0.8241	0.206793206793207	41	31.955
DNA/TcMar-Mariner	-0.2452	0.496503496503497	15	16.958
SINE/tRNA-Meta	2.3092	0.040959040959041	22	7.137
LINE/RTE-RTE	1.3057	0.108891108891109	27	17.505
LTR/ERVK	-2.0911	0.004995004995005	3	16.843
DNA/TcMar-Tc1	-1.8296	0.020979020979021	26	46.995
DNA/hAT-Ac	-1.3077	0.012987012987013	0	11.868
DNA/TcMar-Tc2	0.6465	0.294705294705295	6	4.379
SINE/MIR	-0.2859	0.592407592407592	1	1.627
LTR/Pao	1.6836	0.0669330669330669	24	12.261
DNA/TcMar-Tc4	0.3344	0.372627372627373	6	5.031
DNA/Dada	1.5095	0.0719280719280719	9	3.266
RC/Helitron	-1.7703	0.014985014985015	0	6.195
LTR/ERV1	-1.3304	0.131868131868132	0	2.251
DNA/Kolobok-T2	-0.6629	0.233766233766234	1	8.18
PLE/Naiad	-0.4177	0.442557442557443	3	10.951
SINE/U	-0.5514	0.619380619380619	0	0.692
LINE/Penelope	-1.1237	0.161838161838162	2	5.149
LINE/L1	-0.0954	0.749250749250749	1	1.278
SINE/tRNA-RTE	-0.6689	0.574425574425574	0	0.685
DNA/CMC-EnSpm	0.0807	0.527472527472527	1	0.896
SINE/ID	-0.5322	0.651348651348651	0	0.668
DNA/Academ-1	0.0277	0.234765234765235	1	0.878
DNA/MULE-MuDR	-0.2021	0.948051948051948	0	0.072
PLE/Chlamys	-0.3245	0.767232767232767	0	0.387
DNA/PIF-Harbinger	-0.1908	0.961038961038961	0	0.059
DNA/hAT	-0.1275	0.984015984015984	0	0.016
DNA	-0.1788	0.969030969030969	0	0.031
DNA/CMC-Chapaev	-0.1102	0.988011988011988	0	0.012
All	-1.7433	0.035964035964036	751	1208.531
