family	z_score	p_value	observed	expected
Unknown	-2.3531	0.004995004995005	567	1157.569
LTR/Pao	4.5117	0.002997002997003	31	9.107
LINE/CR1	1.5459	0.0719280719280719	68	48.526
Satellite	-0.9761	0.126873126873127	68	107.277
Simple_repeat	-4.5924	0.000999000999000999	67	301.594
SINE/ID	1.0086	0.104895104895105	24	10.737
DNA/TcMar-Tc1	-1.0964	0.120879120879121	25	36.212
DNA/hAT-Ac	-1.1247	0.0719280719280719	1	10.591
LINE/Penelope	-1.3142	0.126873126873127	1	4.064
LTR/Gypsy	5.3063	0.003996003996004	37	9.164
LINE/I	-1.4759	0.0629370629370629	4	10.175
LINE/RTE-RTE	0.9832	0.111888111888112	13	7.475
Low_complexity	-3.5702	0.000999000999000999	3	30.24
DNA	-0.7251	0.545454545454545	0	0.679
SINE/MIR	0.1806	0.387612387612388	2	1.618
RC/Helitron	-1.4351	0.051948051948052	1	6.87
DNA/Academ-1	-0.653	0.223776223776224	1	3.773
SINE/U	-0.5911	0.58041958041958	0	0.768
DNA/TcMar-Mariner	0.0772	0.437562437562438	15	14.454
SINE/5S	-0.4698	0.500499500499501	0	0.972
SINE?	-0.6536	0.613386613386613	0	0.547
SINE/tRNA-RTE	-0.5248	0.696303696303696	0	0.509
DNA/MULE-MuDR	-0.2291	0.943056943056943	0	0.071
DNA/PIF-Harbinger	-0.2092	0.954045954045954	0	0.073
DNA/hAT	-0.1005	0.99000999000999	0	0.01
DNA/TcMar-Tc4	-0.1959	0.963036963036963	0	0.037
DNA/CMC-Chapaev	-0.1054	0.989010989010989	0	0.011
All	-2.7173	0.001998001998002	928	1770.066
