family	z_score	p_value	observed	expected
Simple_repeat	-4.0895	0.000999000999000999	172	316.115
Unknown	-2.9305	0.000999000999000999	1005	2085.826
Satellite	14.1784	0.000999000999000999	135	16.43
Low_complexity	-4.4547	0.000999000999000999	39	98.955
RC/Helitron	8.2291	0.000999000999000999	77	20.755
LINE/CR1	0.4693	0.320679320679321	49	44.695
PLE/Naiad	2.4056	0.032967032967033	7	2.757
DNA/TcMar-Tc1	5.1874	0.000999000999000999	36	12.126
DNA/Maverick	-0.3369	0.470529470529471	12	14.425
LINE/RTE-RTE	3.1641	0.00799200799200799	17	6.574
LTR/Gypsy	0.4088	0.326673326673327	22	19.345
SINE/tRNA-Deu	-1.0173	0.205794205794206	4	6.898
DNA/TcMar-Mariner	1.8237	0.0629370629370629	24	15.129
LTR/Pao	0.0789	0.443556443556444	3	2.783
LINE/RTE-BovB	4.6128	0.004995004995005	5	0.799
DNA/TcMar-m44	5.4827	0.001998001998002	10	1.597
LTR/ERVK	-0.4727	0.718281718281718	0	1.252
DNA	-0.9168	0.115884115884116	0	5.495
DNA/TcMar-Tc4	-0.2317	0.949050949050949	0	0.051
SINE/U	-0.4194	0.774225774225774	0	0.553
SINE/ID	-0.7982	0.456543456543457	0	1.012
DNA/TcMar-Tc2	-0.1665	0.973026973026973	0	0.027
SINE/U-L1	-0.2945	0.824175824175824	0	0.501
DNA/PIF-Harbinger	-0.1349	0.982017982017982	0	0.053
DNA/PiggyBac	-0.2227	0.951048951048951	0	0.051
DNA/MULE-MuDR	-0.3812	0.866133866133866	0	0.143
DNA/TcMar-Pogo	-0.1633	0.974025974025974	0	0.026
DNA/CMC-Chapaev	-0.1322	0.982017982017982	0	0.019
ARTEFACT	-0.1696	0.972027972027972	0	0.028
SINE/tRNA-Deu-L2	-0.2674	0.929070929070929	0	0.074
All	-2.7428	0.002997002997003	1617	2697.38
