buscoID	query_chr	position	assigned_chr
0at6231	IV	5396291.5	IV
4at6231	II	10505620.5	I
6at6231	V	1670631.0	V
7at6231	III	15345876.0	III
9at6231	III	15631804.0	III
18at6231	I	3945509.5	I
19at6231	V	11962527.0	V
20at6231	II	6031284.0	II
21at6231	V	6120039.5	V
22at6231	I	4935897.0	I
23at6231	III	10814806.0	III
25at6231	X	13969397.0	X
28at6231	III	16021002.0	III
29at6231	IV	14825252.0	V
32at6231	X	4064428.0	X
35at6231	V	7528159.0	V
39at6231	X	14756245.0	X
40at6231	V	14304315.5	V
43at6231	I	2692942.5	I
45at6231	III	5698340.0	III
48at6231	I	8401120.0	I
49at6231	X	13707218.0	X
55at6231	III	12323117.0	III
60at6231	IV	8250581.5	IV
63at6231	IV	9312342.0	IV
65at6231	X	9377175.0	X
67at6231	X	983560.0	X
68at6231	I	9151469.5	I
72at6231	III	14619060.5	III
74at6231	I	3459430.0	I
76at6231	I	2844113.0	I
86at6231	X	9514101.0	X
90at6231	IV	8293431.5	IV
91at6231	IV	12794612.0	IV
92at6231	III	11374453.5	III
96at6231	IV	10403654.0	IV
97at6231	V	15389580.0	V
101at6231	X	3095967.0	X
112at6231	X	11514503.0	X
117at6231	I	2482045.0	I
125at6231	V	15545749.5	V
127at6231	X	595051.5	X
131at6231	II	228780.5	II
132at6231	III	9343550.0	III
137at6231	III	13565965.0	III
139at6231	X	15770108.0	X
144at6231	IV	4751093.5	IV
146at6231	II	4030510.0	II
147at6231	X	8979769.5	X
149at6231	II	1916894.0	II
151at6231	III	12923897.0	III
152at6231	II	10799062.0	II
161at6231	II	7680043.0	II
164at6231	X	8120238.0	X
165at6231	X	16290263.0	X
166at6231	III	3884695.0	III
172at6231	IV	9930351.0	IV
174at6231	III	2469611.5	III
175at6231	I	15078020.0	I
183at6231	III	6060782.5	III
184at6231	II	2625353.5	II
185at6231	III	3227175.5	III
189at6231	X	18195547.5	X
190at6231	II	4242539.5	II
194at6231	IV	9476631.0	IV
196at6231	III	15465990.5	III
197at6231	II	9156014.0	II
198at6231	II	13564865.0	II
201at6231	II	8181387.5	II
204at6231	I	7797293.5	I
210at6231	III	14313770.5	III
211at6231	III	14905662.5	III
216at6231	I	10595019.5	I
217at6231	V	9077601.5	V
219at6231	II	16421480.5	II
223at6231	III	6418098.0	III
225at6231	II	17073123.5	II
229at6231	I	5524330.5	I
232at6231	X	15005338.5	X
233at6231	IV	1051172.0	IV
